q,WordIndex,wordForm,Lemma,POS,DepRelation,DepType,PhonePattern,SyllableNumber,WordCharacter,POS type (functional/content),ConstituencyParsing,ConstituencyNumberOfNodes,CVCC Count,CVC Count,CV Count
1,1,یک,یک,Urns---,2,NUM,CVC,1,2,f,(ROOT (S (NPA (Urns----- *),4,0,1,0
1,2,دسته,دسته,Ncsp---,7,NSUBJ,CVCCV,2,4,c,(NPA (N (Ncsp------ *),3,0,1,1
1,3,گنجشک,گنجشک,Ncsp---,2,NN,CVCCVCC,2,5,c,(Ncsp------ *),1,1,1,0
1,4,در,در,E-,7,VMOD,CVC,1,2,f,(E------- *)),1,0,1,0
1,5,صحرایی,صحرا,Ncspk-y,4,POBJ,CVCCVC,3,6,c,(NUM (Ncspk---y- *),2,0,2,0
1,6,زندگی,زندگی,Ncsp---,7,MWE,CVCCVCV,3,5,c,(Ncsp------ *))),1,0,1,2
1,7,می-کردند,***not found***می-کردند***Vpyslhti---
1,8,.,.,Oe,7,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
2,1,اتفاقاٌ,***not found***اتفاقاٌ***Ncsp--z
2,2,فیل,فیل,Ncsp--z,1,NN,CVCV,2,3,c,(Ncsp----z- *),1,0,0,2
2,3,زورمندی,زورمندی,Ncsp---,2,NN,CVCCVCCV,3,7,c,(Ncsp------ *)),1,0,2,1
2,4,هم,هم,J--,3,NMOD,CVC,1,2,f,(J-------- *)),1,0,1,0
2,5,نزدیک,نزدیک,Apsz,3,NMOD,CVCCVCV,3,5,c,(VPC-DiscA (DiscA (As-z- *)),3,0,1,2
2,6,این,***not found***این***Tm-------
2,7,صحرا,صحرا,Ncspk--,6,DETCOMP,CVCCV,2,4,c,(Ncspk----- *)),1,0,1,1
2,8,زندگی,زندگی,Ncsp---,9,MWE,CVCCVCV,3,5,c,(Ncsp------ *)),1,0,1,2
2,9,می-کرد,***not found***می-کرد***Vpysshsi---
2,10,.,.,Oe,9,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
3,1,یک,یک,Urns---,2,NUM,CVC,1,2,f,(ROOT (S (VPA (N (Urns----- *),5,0,1,0
3,2,روز,روز,Ncspt--,8,NSUBJ,CVC,1,3,c,(Ncspt----- *)),1,0,1,0
3,3,که,که,J--,5,RELSUBJ,CV,1,2,f,(VPA (MADV (NUM (J-------- *),4,0,0,1
3,4,فیل,فیل,Ncsp---,5,MWE,CVC,1,3,c,(Ncsp------ *),1,0,1,0
3,5,می-خواست,***not found***می-خواست***Vpysshti---
3,6,لب,***not found***لب***Ez
3,7,رودخانه,رودخانه,Ncspk--,6,POBJ,CVCCVCV,3,7,c,(Ncspk----- *),1,0,1,2
3,8,برود,***not found***برود***Vpyssh--u--
3,9,و,و,Jr-,0,ROOT,CV,1,1,f,(Jr------- *)),1,0,0,1
3,10,آب,آب,Ncsp---,11,MWE,CVC,1,2,c,(MV (Ncsp------ *),2,0,1,0
3,11,بنوشد,***not found***بنوشد***Vpyssh--u--
3,12,.,.,Oe,9,PUNC,.,1,1,f,(Oe *))) ,1,0,0,1
4,1,راهش,راه,Ncsp----3-,4,DOBJ,CVCVC,2,4,c,(ROOT (S (VPSD (VPC (NPC (NPC (Ncsp------ *),7,0,1,1
4,2,را,را,P,1,ACC,CV,1,2,f,(Cez--nshc *)),1,0,0,1
4,3,کج,کج,Aps-,4,MWE,CVC,1,2,c,(P *)),1,0,1,0
4,4,کرد,کردن,Vpyssht----,5,VerbCOOR,CVCC,1,3,c,(VPA (MADV (NUM (As--- *),4,1,0,0
4,5,و,و,Jr-,0,ROOT,CV,1,1,f,(Vpys-sht------ *),1,0,0,1
4,6,به,به,E-,10,IDOBJ,CV,1,2,f,(NUM (Jr------- *),2,0,0,1
4,7,آشیانه,آشیانه,Ncspk-z,6,POBJ,CVCVCVCVV,5,6,c,(E------- *),1,0,0,3
4,8,گنجشک-ها,گنجشک-,Nclp---,7,NN,CVCCVCCCV,3,8,c,(Ncspk---z- *),1,1,1,1
4,9,نزدیک,نزدیک,Aps-,10,MWE,CVCCVC,2,5,c,(Nclp------ *))),1,0,2,0
4,10,شد,شدن,Vpyssht----,5,VerbCOOR,CVC,1,2,c,(As--- *)),1,0,1,0
4,11,.,.,Oe,5,PUNC,.,1,1,f,(Vpys-sht------ *)))),1,0,0,1
5,1,لانه,لانه,Ncspk--,7,NSUBJ,CVCV,2,4,c,(ROOT (S (CPC (VPS (Ncspk----- *),5,0,0,2
5,2,چند,چند,Tf-------,6,DETCOMP,CVCC,1,3,f,(VPC (DPC (DPA (Tf------- *),4,1,0,0
5,3,گنجشک,گنجشک,Ncsp---,2,DETCOMP,CVCCVCC,2,5,c,(Ncsp------ *)),1,1,1,0
5,4,را,را,P,2,ACC,CV,1,2,f,(P *)),1,0,0,1
